Year,Player,Age,Tm,G
18107,2006,Wayne Simien,22,MIA,43
18108,2006,Bobby Simmons,25,MIL,75
18109,2006,James Singleton,24,LAC,59
18110,2006,Brian Skinner,29,TOT,65
18111,2006,Brian Skinner,29,SAC,38
18112,2006,Brian Skinner,29,POR,27
18113,2006,Charles Smith,30,TOT,22
18114,2006,Charles Smith,30,POR,21
18115,2006,Charles Smith,30,DEN,1
18116,2006,Donta Smith,22,ATL,23
18117,2006,J.R. Smith,20,NOK,55
18118,2006,Joe Smith,30,MIL,44
18119,2006,Josh Smith,20,ATL,80
18120,2006,Eric Snow,32,CLE,82
18121,2006,Kirk Snyder,22,NOK,68
18122,2006,Darius Songaila,27,CHI,62
18123,2006,Pape Sow,24,TOR,42
18124,2006,Jerry Stackhouse,31,DAL,55
18125,2006,DeShawn Stevenson,24,ORL,82
18126,2006,Peja Stojakovic,28,TOT,71
18127,2006,Peja Stojakovic,28,SAC,31
18128,2006,Peja Stojakovic,28,IND,40
18129,2006,Awvee Storey,28,WAS,25
18130,2006,Damon Stoudamire,32,MEM,27
18131,2006,Salim Stoudamire,23,ATL,61
18132,2006,Amar'e Stoudemire,23,PHO,3
18133,2006,Mike Sweetney,23,CHI,66
18134,2006,Robert Swift,20,SEA,47
18135,2006,Stromile Swift,26,HOU,66
18136,2006,Wally Szczerbiak,28,TOT,72
18137,2006,Wally Szczerbiak,28,MIN,40
18138,2006,Wally Szczerbiak,28,BOS,32
18139,2006,Chris Taft,20,GSW,17
18140,2006,Donell Taylor,23,WAS,51
18141,2006,Maurice Taylor,29,NYK,67
18142,2006,Sebastian Telfair,20,POR,68
18143,2006,Jason Terry,28,DAL,80
18144,2006,Billy Thomas,30,WAS,17
18145,2006,Etan Thomas,27,WAS,71
18146,2006,James Thomas,25,TOT,22
18147,2006,James Thomas,25,PHI,15
18148,2006,James Thomas,25,CHI,7
18149,2006,John Thomas,30,TOT,16
18150,2006,John Thomas,30,MEM,3
18151,2006,John Thomas,30,ATL,11
18152,2006,John Thomas,30,NJN,2
18153,2006,Kenny Thomas,28,SAC,82
18154,2006,Kurt Thomas,33,PHO,53
18155,2006,Tim Thomas,28,TOT,29
18156,2006,Tim Thomas,28,CHI,3
18157,2006,Tim Thomas,28,PHO,26
18158,2006,Dijon Thompson,22,PHO,10
18159,2006,Jamaal Tinsley,27,IND,42
18160,2006,Jake Tsakalidis,26,MEM,51
18161,2006,Nikoloz Tskitishvili,22,TOT,17
18162,2006,Nikoloz Tskitishvili,22,MIN,5
18163,2006,Nikoloz Tskitishvili,22,PHO,12
18164,2006,Ronny Turiaf,23,LAL,23
18165,2006,Hedo Turkoglu,26,ORL,78
18166,2006,Ime Udoka,28,NYK,8
18167,2006,Beno Udrih,23,SAS,54
18168,2006,Nick Van,34,SAS,65
18169,2006,Keith Van,30,DAL,53
18170,2006,Anderson Varejao,23,CLE,48
18171,2006,Jacque Vaughn,30,NJN,80
18172,2006,Charlie Villanueva,21,TOR,81
18173,2006,Jake Voskuhl,28,CHA,51
18174,2006,Jackson Vroman,24,NOK,41
18175,2006,Sasha Vujacic,21,LAL,82
18176,2006,Dwyane Wade,24,MIA,75
18177,2006,Von Wafer,20,LAL,16
18178,2006,Antoine Walker,29,MIA,82
18179,2006,Samaki Walker,29,IND,7
18180,2006,Ben Wallace,31,DET,82
18181,2006,Gerald Wallace,23,CHA,55
18182,2006,Rasheed Wallace,31,DET,80
18183,2006,Matt Walsh,23,MIA,2
18184,2006,Luke Walton,25,LAL,69
18185,2006,Hakim Warrick,23,MEM,68
18186,2006,Earl Watson,26,TOT,70
18187,2006,Earl Watson,26,DEN,46
18188,2006,Earl Watson,26,SEA,24
18189,2006,Chris Webber,32,PHI,75
18190,2006,Martell Webster,19,POR,61
18191,2006,Bonzi Wells,29,SAC,52
